id,name,league,TO BE DONE
590,Preu?癲ル슣伊??M?꿔꺂???듭퀪?易턤r,Germany 3. Liga,Preußen Münster
568,VfB L?꿔꺂???듭퀪筌좎þk,Germany 3. Liga,VfL Osnabruck
525,Viktoria K?꿔꺂????? ,Germany 3. Liga,Viktoria Köln
492,1860 M?꿔꺂???듭퀪?六엁n,Germany 3. Liga,1860 Munich
464,Saarbr嶺뚳퐤嫄챞en,Germany 3. Liga,SV Wehen Wiesbaden
437,S嶺뚳퐤嫄촷irol,Italy Serie B ,FC Südtirol
423,FeralpiSal嶺?,Italy Serie B ,Feralpisalò
575,Str?꿔꺂???sgodset IF,Norway Eliteserien ,Stromsgodset
558,Stab????Fotball,Norway Eliteserien ,Stabaek
522,Lillestr?꿔꺂??? SK,Norway Eliteserien ,Lillestrom
459,V嶺??톏renga Fotball,Norway Eliteserien ,Valerenga
221,FK Bod癲?Glimt,Norway Eliteserien ,Bodo/Glimt
489,"??????Wroc?濚욌꼬?노?, ",Poland Ekstraklasa,Śląsk Wrocław
619,Ruch Chorz?꿔꺂??節낆물?,Poland Ekstraklasa ,Ruch Chorzow
565,????????猿딄탥d??,Poland Ekstraklasa ,Lechia Gdańsk
542,Widzew ????猿딄탥d?? ,Poland Ekstraklasa ,Widzew Łódź
537,Stal Mielec,Poland Ekstraklasa ,Stal Mielec
521,G?꿔꺂??節낆물?毓쫕 Zabrze,Poland Ekstraklasa ,Górnik Zabrze
495,Warta Pozna??Poland Ekstraklasa ,Poland Ekstraklasa ,Warta Pozna
451,Zag???弛쳃e Lubin,Poland Ekstraklasa ,Zagłębie Lubin
347,Pogo??Szczecin,Poland Ekstraklasa ,Pogoń Szczecin
286,Rak嶺뚳퐣寃?Cz??苡줼chowa,Poland Ekstraklasa ,Raków Częstochowa
250,Lech Pozna??,Poland Ekstraklasa ,Lech Poznań
199,FC Famalic筌≫뫁,Portugal Primeira Liga ,Famalicão
171,Vit筌ｌ겚ia de Guimar筌≫몮s,Portugal Primeira Liga ,Vitória de Guimarães
675,Uni처n,Rest of World,union
168,Ferencv筌≫렋osi TC,Rest of World,Ferencvárosi TC
632,ASC O?elul Gala?i,Romania Liga I ,Otelul Galati
580,Politehnica Ia?i,Romania Liga I ,Petrolul Ploiești
579,FC Boto?ani,Romania Liga I ,FC Botoşani
134,Alav筌?툒,Spain Primera Division ,Alavés
472,"CD Mirand嶺???, ",Spain Segunda Division ,CD Mirandés
384,"AD Alcorc嶺뚳퐣寃?, ",Spain Segunda Division ,AD Alcorcon
630,Mj????荑쳙 AIF,Sweden Allsvenskan ,Mjällby AIF
587,IFK V???筌뤾갠mo,Sweden Allsvenskan ,IFK Värnamo
518,IFK Norrk?꿔꺂?????g,Sweden Allsvenskan ,IFK Norrköping
456,IFK G嶺뚳퐣?튳borg,Sweden Allsvenskan ,IFK Göteborg
448,Djurg嶺??늕ens IF,Sweden Allsvenskan ,Djurgårdens IF
412,FC Z嶺뚳퐤寃늝ch,Switzerland Super League ,FC Zürich
475,嶺??똳anbulspor,Turkey Super Lig,İstanbulspor
371,Kas嶺??쉚a??? ,Turkey Super Lig,Kasimpasa
323,???쐊ur Rizespor,Turkey Super Lig,Caykur Rizespor
217,MKE Ankarag筌ｍ걪筌?,Turkey Super Lig,Ankaragücü
192,Karag筌ｍ걼r筌ｍ걹 SK,Turkey Super Lig,Fatih Karagümrük
71,Be??컆ta??,Turkey Super Lig,Beşiktaş
403,CF Montr嶺??큞,USA Major League Soccer ,CF Montréal
166,,166 Lanus,Lanus
179,,179 Colon,Colon
185,,185 Velez Sarsfield,Velez Sarsfield
224,,224 Atletico Tucuman,Atletico Tucuman
202,,202 Standard Liege,Standard Liege
198,,198 independinte medellin,independinte medelli
376,,376 Nublense,Nublense
395,,,Bolívar
431,,431 Cerro Porteno,Cerro Porteno
252,,252 Universidad Católica,Universidad Católica
270,,270 Goias,Goias
338,,338 Aguilas Doradas Rionegro,Aguilas Doradas Rionegro
374,,374 Guarani,Guarani
433,,433 Universidad Cesar Vallejo,Universidad Cesar Vallejo
486,,486 Delfin S.C.,Delfin S.C.
578,,578 Guabira,Guabira
148,,148 FC Kobenhavn,FC Kobenhavn
254,,254 Brondby IF,Brondby IF
331,,331 FC Nordsjælland,FC Nordsjælland
117,,177 AS Saint-Etienne,AS Saint-Etienne
94,,94 FC Koln,FC Koln
229,,229 Dusseldorf,Dusseldorf
307,,307 FC Nurnberg,FC Nurnberg
359,,,Fortuna Düsseldorf
413,,413 VfL Osnabrück,VfL Osnabrück
